geo_type,geo_name,geo_id,stateusps,pop_tot,HU_tot,HU_100year,Pop_100year,HU_anyyear,Pop_anyyear,PH_units_100year,PH_units_tot,sub_housing_units_100year,PH_units_anyyear,sub_housing_units_anyyear,shr_hu_fp_100,shr_hu_fp_any,shr_hu_renter_fp_100,shr_hu_renter_fp_any,shr_hu_owner_fp_100,shr_hu_owner_fp_any,shr_hu_renter_fp_100_tract,shr_hu_renter_fp_any_tract,shr_hu_owner_fp_100_tract,shr_hu_owner_fp_any_tract,shr_hu_renter_tract,shr_hu_owner_tract,shr_hu_built00s_fp_100,shr_hu_built00s_fp_any,shr_hu_built8099_fp_100,shr_hu_built8099_fp_any,shr_hu_built6079_fp_100,shr_hu_built6079_fp_any,shr_hu_builtpre60_fp_100,shr_hu_builtpre60_fp_any,shr_hu_built00s_tract,shr_hu_built8099_tract,shr_hu_built6079_tract,shr_hu_builtpre60_tract,shr_hu_1fam_fp_100,shr_hu_1fam_fp_any,shr_hu_2to4fam_fp_100,shr_hu_2to4fam_fp_any,shr_hu_5to19fam_fp_100,shr_hu_5to19fam_fp_any,shr_hu_20up_fp_100,shr_hu_20up_fp_any,shr_hu_other_fp_100,shr_hu_other_fp_any,shr_hu_1fam_tract,shr_hu_2to4fam_tract,shr_hu_5to19fam_tract,shr_hu_20up_tract,shr_hu_other_tract,shr_hu_1fam_100year_oftotal,shr_hu_1fam_anyyear_oftotal,shr_hu_2to4fam_100year_oftotal,shr_hu_2to4fam_anyyear_oftotal,shr_hu_5to19fam_100year_oftotal,shr_hu_5to19fam_anyyear_oftotal,shr_hu_20up_100year_oftotal,shr_hu_20up_anyyear_oftotal,shr_hu_other_100year_oftotal,shr_hu_other_anyyear_oftotal,shr_hu_pre60_fp_100_1fam,shr_hu_pre60_fp_any_1fam,shr_hu_pre60_fp_100_2to4fam,shr_hu_pre60_fp_any_2to4fam,shr_hu_pre60_fp_100_5to19fam,shr_hu_pre60_fp_any_5to19fam,shr_hu_pre60_fp_100_20up,shr_hu_pre60_fp_any_20up,shr_hu_pre60_fp_100_Other,shr_hu_pre60_fp_any_Other,shr_pop_asian_fp_100,shr_pop_asian_fp_any,shr_pop_black_fp_100,shr_pop_black_fp_any,shr_pop_hispanic_fp_100,shr_pop_hispanic_fp_any,shr_pop_white_fp_100,shr_pop_white_fp_any,shr_pop_asian_tract,shr_pop_black_tract,shr_pop_hispanic_tract,shr_pop_white_tract,shr_hu_under18_fp_100,shr_hu_under18_fp_any,shr_hu_65up_fp_100,shr_hu_65up_fp_any,shr_hu_under18_tract,shr_hu_65up_tract,shr_pop_poverty_fp_100,shr_pop_poverty_fp_any,shr_pop_poverty_tract,shr_hu_incless25_fp_100,shr_hu_incless25_fp_any,shr_hu_inc25to50_fp_100,shr_hu_inc25to50_fp_any,shr_hu_inc50to75_fp_100,shr_hu_inc50to75_fp_any,shr_hu_inc75up_fp_100,shr_hu_inc75up_fp_any,shr_hu_incless25_tract,shr_hu_inc25to50_tract,shr_hu_inc50to75_tract,shr_hu_inc75up_tract
Census Tract,48201541003,48201541003,TX,7030,2370,0,0,54.61867427,162.0123545,,,,,,0,0.023045854,,0.10742019,,0.89257981,0,0.023045854,0,0.023045854,0.10742019,0.89257981,,0.082700422,,0.837130802,,0.080168776,,0,0.082700422,0.837130802,0.080168776,0,,0.986919831,,0,,0,,0,,0.013080169,0.986919831,0,0,0,0.013080169,0,0.023045854,,,,,,,0,0.023045854,,,,,,,,,,,,0.082076814,,0.146372689,,0.158605974,,0.60284495,0.082076814,0.146372689,0.158605974,0.60284495,,0.401639344,,0.197584124,0.401639344,0.197584124,,0.076086957,0.076086957,,0.1013805,,0.157031924,,0.179896463,,0.561691113,0.1013805,0.157031924,0.179896463,0.561691113
Census Tract,48201541100,48201541100,TX,8208,3053,36.89425982,99.19033233,57.976694,155.8705222,,,,,,0.012084592,0.018990073,0.114490772,0.114490772,0.885509228,0.885509228,0.012084592,0.018990073,0.012084592,0.018990073,0.114490772,0.885509228,0.437602358,0.437602358,0.540452014,0.540452014,0.021945627,0.021945627,0,0,0.437602358,0.540452014,0.021945627,0,0.922371438,0.922371438,0,0,0.061578775,0.061578775,0.016049787,0.016049787,0,0,0.922371438,0,0.061578775,0.016049787,0,0.012084592,0.018990073,,,0.012084592,0.018990073,0.012084592,0.018990073,,,,,,,,,,,,,0.095151072,0.095151072,0.067251462,0.067251462,0.227461014,0.227461014,0.603679337,0.603679337,0.095151072,0.067251462,0.227461014,0.603679337,0.413533835,0.413533835,0.087491456,0.087491456,0.413533835,0.087491456,0.031841652,0.031841652,0.031841652,0.073137389,0.073137389,0.086807929,0.086807929,0.161312372,0.161312372,0.67874231,0.67874231,0.073137389,0.086807929,0.161312372,0.67874231
Census Tract,48201541201,48201541201,TX,9394,2971,0,0,,,,,,,,0,,,,,,0,,0,,0.23125,0.76875,,,,,,,,,0.144732413,0.751598788,0.086839448,0.01682935,,,,,,,,,,,0.892965332,0,0.069336924,0.007404914,0.030292831,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,0.144134554,0.057057696,0.347668725,0.426655312,,,,,0.477430556,0.20625,,,0.187587544,,,,,,,,,0.160416667,0.131597222,0.228819444,0.479166667
Census Tract,48201541202,48201541202,TX,2536,1026,0,0,,,,,,,,0,,,,,,0,,0,,0.048,0.952,,,,,,,,,0.033138402,0.940545809,0.02631579,0,,,,,,,,,,,0.990253411,0,0.009746589,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0.047712934,0.016561514,0.119873817,0.809936909,,,,,0.276,0.27,,,0.003943218,,,,,,,,,0.071,0.082,0.073,0.774
Census Tract,48201541203,48201541203,TX,12545,3723,0,0,0,0,,,,,,0,0,,,,,0,0,0,0,0.40766648,0.59233352,,,,,,,,,0.325812517,0.539081386,0.118990062,0.016116036,,,,,,,,,,,0.7727639,0.007520817,0.09562181,0.124093473,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.0672778,0.197449183,0.543722599,0.175926664,,,,,0.493005036,0.102126469,,,0.147394462,,,,,,,,,0.15193061,0.324286514,0.186345831,0.337437045
Census Tract,48201541300,48201541300,TX,16250,4879,0,0,828.0682267,2757.964477,,,,,,0,0.169720891,,0.287134998,,0.712865002,0,0.169720891,0,0.169720891,0.287134998,0.712865002,,0.544373847,,0.209469154,,0.199221152,,0.046935848,0.544373847,0.209469154,0.199221152,0.046935848,,0.81348637,,0.011272802,,0.112932978,,0.06230785,,0,0.81348637,0.011272802,0.112932978,0.06230785,0,0,0.169720891,0,0.169720891,0,0.169720891,0,0.169720891,,,,1,,0,,0,,0,,0,,0.200923077,,0.209046154,,0.412923077,,0.172738462,0.200923077,0.209046154,0.412923077,0.172738462,,0.574904782,,0.119974609,0.574904782,0.119974609,,0.108271605,0.108271605,,0.092890394,,0.194667795,,0.237198477,,0.475243335,0.092890394,0.194667795,0.237198477,0.475243335
Census Tract,48201541400,48201541400,TX,5262,1662,5.752035831,18.21131922,340.0468241,1076.610342,,,,,,0.003460912,0.204600977,0.102531646,0.102531646,0.897468354,0.897468354,0.003460912,0.204600977,0.003460912,0.204600977,0.102531646,0.897468354,0.280986763,0.280986763,0.654031288,0.654031288,0.049939832,0.049939832,0.015042118,0.015042118,0.280986763,0.654031288,0.049939832,0.015042118,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.003460912,0.204600977,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0.172177879,0.172177879,0.088369441,0.088369441,0.437286203,0.437286203,0.261687571,0.261687571,0.172177879,0.088369441,0.437286203,0.261687571,0.465822785,0.465822785,0.153797468,0.153797468,0.465822785,0.153797468,0.088749525,0.088749525,0.088749525,0.12721519,0.12721519,0.205696203,0.205696203,0.192405063,0.192405063,0.474683544,0.474683544,0.12721519,0.205696203,0.192405063,0.474683544
Census Tract,48201541500,48201541500,TX,5415,1825,0,0,,,,,,,,0,,,,,,0,,0,,0.187945206,0.812054795,,,,,,,,,0.36,0.431780822,0.206575343,0.001643836,,,,,,,,,,,0.990684932,0,0.009315069,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0.125023084,0.085687904,0.216066482,0.548291782,,,,,0.288767123,0.25369863,,,0.07867036,,,,,,,,,0.104657534,0.081643836,0.144109589,0.669589041
Census Tract,48201541601,48201541601,TX,9937,3239,0,0,0,0,,,,,,0,0,,,,,0,0,0,0,0.348597227,0.651402773,,,,,,,,,0.281259648,0.280950911,0.434084594,0.003704847,,,,,,,,,,,0.817845014,0,0.145723989,0.036430997,0,0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.049511925,0.099929556,0.531045587,0.314279964,,,,,0.444050306,0.181876814,,,0.13354131,,,,,,,,,0.249596904,0.178007095,0.206707514,0.365688488
Census Tract,48201541602,48201541602,TX,11144,4525,0,0,13.34370904,32.86238532,,,,,,0,0.002948886,,0.715281115,,0.284718885,0,0.002948886,0,0.002948886,0.715281115,0.284718885,,0.422983425,,0.512044199,,0.064972376,,0,0.422983425,0.512044199,0.064972376,0,,0.333922652,,0.066519337,,0.35359116,,0.245966851,,0,0.333922652,0.066519337,0.35359116,0.245966851,0,0,0.002948886,0,0.002948886,0,0.002948886,0,0.002948886,,,,,,,,,,,,,,0.05850682,,0.224335966,,0.400843503,,0.300789663,0.05850682,0.224335966,0.400843503,0.300789663,,0.341422393,,0.076645843,0.341422393,0.076645843,,0.129533214,0.129533214,,0.089860644,,0.32364248,,0.185728015,,0.400768861,0.089860644,0.32364248,0.185728015,0.400768861
