FIPS,Socioeconomic,Housing - Disability,Minority Status - Language,Housing - Transportation,SVI INDEX
48201452801,0.7683,0.6107,0.8733,0.431,0.7132
48201452802,0.8642,0.4899,0.9533,0.5589999999999999,0.7962
48201452900,0.8932,0.4179,0.9259,0.4803,0.762
48201453000,0.7805,0.2272,0.9721,0.2028,0.5902
48201453100,0.9087,0.6386,0.8896,0.6659,0.8526
48201453200,0.9593,0.6256,0.9470000000000001,0.9933,0.9854
48201453300,0.9012,0.7157,0.8762,0.4844,0.8123
48201453401,0.7727,0.5398,0.7962,0.6108,0.7382
48201453402,0.7979999999999999,0.3664,0.8435,0.705,0.7551
48201453403,0.8627,0.5836,0.9504,0.8841,0.9036
48201453501,0.596,0.3029,0.8661,0.7809999999999999,0.6814
48201453502,0.6668,0.4045,0.7755,0.4049,0.6004
48201453601,0.9077,0.5039,0.8992,0.2706,0.7106
48201453602,0.8421,0.6513,0.9039,0.8139,0.8735
48201453700,0.6839,0.5049,0.9281,0.7515,0.7643
48201453800,0.8979,0.7203,0.8331,0.4569,0.795
48201453900,0.6497,0.0805,0.9466,0.8751,0.6831
48201454000,0.6215,0.1176,0.8345,0.2046,0.439
48201454100,0.2104,0.5405,0.6529,0.2071,0.3188
48201454200,0.4145,0.1431,0.7170000000000001,0.1121,0.2812
48201454301,0.4704,0.2843,0.7137,0.6456,0.5501
48201454302,0.5492,0.3093,0.7851,0.0464,0.3395
48201454400,0.0084,0.0446,0.5019,0.3237,0.1006
48201454501,0.0317,0.0736,0.2352,0.004,0.0033
48201454502,0.136,0.2226,0.3879,0.038,0.0816
48201454600,0.1654,0.2884,0.5649,0.2687,0.2491
48201454700,0.0526,0.1914,0.2679,0.0725,0.0562
48201454800,0.2843,0.3499,0.3835,0.2443,0.2672
48201454900,0.2014,0.1389,0.5341,0.1242,0.1658
48201455000,0.14,0.2468,0.41200000000000003,0.2007,0.1802
48201455101,0.4606,0.0437,0.5731,0.3418,0.2981
48201455102,0.1577,0.146,0.3203,0.0296,0.0547
48201455200,0.3576,0.3549,0.3065,0.2207,0.276
48201455300,0.1861,0.1111,0.415,0.7026,0.2979
48201510200,0.1454,0.0176,0.4055,0.5341,0.1562
48201510300,0.0384,0.09699999999999999,0.0454,0.2623,0.0578
48201510400,0.1832,0.022000000000000002,0.1942,0.7762,0.2017
48201510500,0.1444,0.0134,0.3917,0.5281,0.1401
48201510600,0.0831,0.008,0.381,0.2589,0.052000000000000005
48201510700,0.0075,0.005,0.1255,0.4702,0.033
48201510800,0.0134,0.0226,0.1575,0.3019,0.0369
48201510900,0.1932,0.0213,0.6085,0.2591,0.1491
48201511001,0.2066,0.0868,0.2769,0.0927,0.0875
48201511002,0.0349,0.1142,0.1982,0.2829,0.091
48201511200,0.1619,0.0328,0.2821,0.18600000000000003,0.0777
48201511301,0.1272,0.1096,0.0522,0.3082,0.1038
48201511302,0.0752,0.0374,0.0911,0.3161,0.0593
48201511400,0.174,0.0749,0.5249,0.6235,0.27699999999999997
48201511500,0.1586,0.1698,0.4374,0.0948,0.124
48201511600,0.5855,0.265,0.8240000000000001,0.6166,0.604
48201520100,0.3746,0.127,0.5704,0.3548,0.318
48201520200,0.2975,0.1456,0.615,0.2518,0.2726
48201520300,0.7282,0.3771,0.8009999999999999,0.9916,0.8656
48201520400,0.8525,0.6486,0.8685,0.934,0.9157
48201520500,0.8095,0.5915,0.9036,0.9871,0.9388
48201520601,0.8492,0.6467,0.9386,0.5684,0.8146
48201520602,0.8141,0.6335,0.9298,0.5584,0.7942
48201521000,0.7761,0.3826,0.8429,0.6694,0.7392
48201521100,0.8337,0.255,0.9221,0.8818,0.8257
48201521200,0.8373,0.3593,0.938,0.8973,0.8628
48201521300,0.8473,0.7005,0.8817,0.9198,0.9169
48201521400,0.9041,0.5426,0.9853,0.8712,0.9159
48201521500,0.7109,0.3355,0.8009999999999999,0.4498,0.6207
48201521600,0.7393,0.2675,0.8856,0.2253,0.5678
48201521700,0.9033,0.3169,0.8607,0.7143,0.7985
48201521800,0.4631,0.0351,0.8144,0.8601,0.525
48201521900,0.4013,0.2817,0.7157,0.7056,0.5379999999999999
48201522000,0.6006,0.6505,0.7451,0.8123,0.7326
48201522100,0.4723,0.7147,0.7599,0.8939,0.7340000000000001
48201522201,0.7408,0.7735,0.8287,0.42200000000000004,0.7225
48201522202,0.8222,0.6759999999999999,0.8477,0.9543,0.9167
48201522301,0.5943,0.1962,0.7834,0.6813,0.5983
48201522302,0.649,0.2179,0.8232,0.7997,0.6752
48201522401,0.5005,0.4256,0.6856,0.4066,0.5104
48201522402,0.6821,0.0542,0.6984,0.3974,0.4624
48201522500,0.0111,0.1786,0.0392,0.0923,0.0257
48201530100,0.7311,0.2629,0.9158,0.8235,0.7553
48201530200,0.3021,0.2529,0.4738,0.8177,0.4582
48201530300,0.8788,0.8293,0.9242,0.8471,0.9334
48201530500,0.9154,0.8687,0.9409,0.9902,0.9906
48201530700,0.8895,0.6235,0.9254,0.9846,0.9614
48201530800,0.6192,0.535,0.7361,0.7018,0.6802
48201530900,0.2806,0.4587,0.6251,0.9071,0.5795
48201531000,0.2237,0.1355,0.4501,0.3324,0.2261
48201531100,0.1053,0.1665,0.2922,0.0622,0.0645
48201531200,0.23,0.0757,0.4604,0.1931,0.1681
48201531300,0.7896,0.4472,0.8251,0.9175,0.8463
48201531400,0.3014,0.2173,0.514,0.2355,0.2687
48201531500,0.2262,0.1634,0.5513,0.2951,0.2457
48201531600,0.1308,0.1587,0.5888,0.1921,0.1875
48201531700,0.0882,0.1573,0.1988,0.2358,0.1125
48201531800,0.8335,0.7490000000000001,0.8657,0.5513,0.8094
48201531900,0.7514,0.9067,0.8458,0.275,0.7213
48201532001,0.8559,0.5066,0.8077,0.8545,0.8503
48201532002,0.0879,0.2596,0.5193,0.0741,0.1205
48201532100,0.8345,0.7298,0.8846,0.6592,0.8378
