,FIPS,year,population,poverty-rate,median-household-income,median-property-value,evictions,eviction-rate
35336,48015760502,2016,5253.0,9.0,47165.0,144400.0,0.0,0.0
35353,48017950100,2016,7126.0,14.81,37397.0,58300.0,0.0,0.0
35625,48023950300,2016,3628.0,8.8,36373.0,81400.0,0.0,0.0
35761,48027020100,2016,6264.0,8.95,59525.0,116100.0,14.0,2.33
35778,48027020201,2016,7593.0,3.32,92619.0,194000.0,4.0,1.37
35795,48027020202,2016,5959.0,6.17,55789.0,122100.0,14.0,3.39
35812,48027020300,2016,9236.0,3.51,69835.0,142800.0,11.0,1.5
35829,48027020401,2016,2976.0,10.2,43389.0,97700.0,60.0,9.51
35846,48027020402,2016,2160.0,8.33,42917.0,84800.0,33.0,10.41
35863,48027020500,2016,3968.0,18.26,42212.0,95900.0,25.0,6.35
35880,48027020600,2016,2968.0,15.28,45855.0,95800.0,31.0,7.4
35897,48027020701,2016,1417.0,40.27,14335.0,67300.0,36.0,5.14
35914,48027020702,2016,2030.0,34.59,24417.0,62300.0,31.0,7.51
35931,48027020800,2016,4071.0,42.32,28938.0,75000.0,78.0,11.29
35948,48027020900,2016,2579.0,18.83,30272.0,69000.0,24.0,2.92
35965,48027021000,2016,4270.0,17.32,34457.0,69700.0,78.0,5.43
35982,48027021100,2016,5844.0,16.81,38472.0,82100.0,54.0,4.08
35999,48027021201,2016,2676.0,7.83,45560.0,125800.0,30.0,2.11
36016,48027021202,2016,4411.0,15.91,46544.0,120100.0,22.0,2.73
36033,48027021203,2016,3970.0,9.86,45473.0,142200.0,24.0,2.86
36050,48027021301,2016,4779.0,5.0,56859.0,127100.0,14.0,1.76
36067,48027021302,2016,3378.0,3.12,60650.0,150200.0,2.0,0.37
36084,48027021303,2016,6939.0,13.56,57028.0,152300.0,51.0,3.73
36101,48027021400,2016,3875.0,8.98,55735.0,137600.0,10.0,2.84
36118,48027021500,2016,6621.0,13.31,51279.0,113800.0,34.0,4.04
36135,48027021601,2016,5407.0,15.96,45690.0,78200.0,40.0,4.43
36152,48027021602,2016,2628.0,16.73,32708.0,118800.0,3.0,0.63
36169,48027021700,2016,8610.0,11.64,56548.0,195000.0,22.0,1.5
36186,48027021800,2016,7640.0,17.6,48083.0,128200.0,30.0,2.7
36203,48027021901,2016,3768.0,18.96,52216.0,115500.0,33.0,5.35
36220,48027021903,2016,8969.0,3.64,85186.0,207800.0,35.0,4.33
36237,48027021904,2016,9741.0,14.88,77625.0,165100.0,56.0,3.36
36254,48027022000,2016,7909.0,18.54,41388.0,77900.0,141.0,7.42
36271,48027022101,2016,4383.0,23.96,36343.0,89800.0,104.0,10.44
36288,48027022103,2016,5015.0,11.11,54519.0,88400.0,43.0,5.11
36305,48027022104,2016,3812.0,23.41,32602.0,94200.0,126.0,9.0
36322,48027022105,2016,2153.0,15.41,46042.0,86600.0,31.0,7.31
36339,48027022200,2016,3302.0,24.05,31897.0,82700.0,91.0,7.57
36356,48027022300,2016,4035.0,21.02,35639.0,68900.0,67.0,5.32
36373,48027022401,2016,6542.0,16.22,38235.0,89700.0,75.0,7.05
36390,48027022402,2016,6612.0,9.4,81351.0,209900.0,12.0,6.86
36407,48027022403,2016,4124.0,6.31,62461.0,110500.0,25.0,4.5
36424,48027022404,2016,8375.0,1.54,60802.0,156300.0,18.0,2.17
36441,48027022405,2016,1983.0,19.95,54167.0,108600.0,27.0,3.67
36458,48027022501,2016,2866.0,9.08,45365.0,82300.0,49.0,6.75
36475,48027022502,2016,9872.0,4.42,55648.0,166400.0,57.0,2.72
36492,48027022600,2016,3903.0,23.85,27161.0,55600.0,164.0,10.9
36509,48027022801,2016,2335.0,35.29,24180.0,48900.0,232.0,21.28
36526,48027022900,2016,3817.0,29.45,29340.0,76000.0,105.0,7.94
36543,48027023000,2016,8581.0,12.21,58415.0,134900.0,82.0,7.04
36560,48027023103,2016,4480.0,14.08,39562.0,96400.0,97.0,10.07
36577,48027023104,2016,3853.0,15.72,41307.0,84500.0,36.0,4.47
36594,48027023105,2016,11531.0,5.71,56917.0,158300.0,76.0,4.8
36611,48027023106,2016,10444.0,7.09,56961.0,130300.0,134.0,6.03
36628,48027023107,2016,7052.0,16.33,38997.0,104500.0,198.0,11.08
36645,48027023108,2016,14343.0,10.83,51256.0,114400.0,198.0,7.06
36730,48027023300,2016,8400.0,10.36,68984.0,172300.0,12.0,2.36
36747,48027023402,2016,4599.0,8.08,50920.0,89900.0,10.0,2.03
36764,48027023403,2016,5434.0,2.71,83661.0,250000.0,9.0,2.2
36781,48027023404,2016,3269.0,8.89,60329.0,190800.0,7.0,1.76
36798,48027023500,2016,1974.0,40.45,18750.0,43800.0,121.0,15.51
36866,48029110100,2016,3347.0,18.07,38004.0,352000.0,42.0,2.09
36883,48029110300,2016,2756.0,20.21,37107.0,120100.0,22.0,2.28
36900,48029110500,2016,2002.0,68.95,10528.0,92500.0,12.0,1.85
36917,48029110600,2016,5097.0,40.3,12160.0,91800.0,46.0,4.38
36934,48029110700,2016,1673.0,21.9,19279.0,66800.0,8.0,1.67
36951,48029110800,2016,1858.0,20.88,27804.0,143800.0,50.0,6.03
36968,48029110900,2016,1214.0,14.55,60755.0,237500.0,10.0,3.11
36985,48029111000,2016,2142.0,23.61,26768.0,90000.0,31.0,3.53
37019,48029120300,2016,7593.0,2.91,121086.0,479500.0,8.0,0.72
37036,48029120400,2016,5920.0,0.0,113533.0,408400.0,9.0,2.54
37053,48029120501,2016,8841.0,11.31,37393.0,88400.0,97.0,5.29
37070,48029120502,2016,5401.0,32.98,31218.0,82200.0,63.0,7.06
37087,48029120600,2016,5780.0,15.37,52537.0,173000.0,74.0,3.65
37104,48029120701,2016,5261.0,12.51,33766.0,154000.0,33.0,2.28
37121,48029120702,2016,4698.0,3.18,66402.0,271500.0,14.0,0.97
37138,48029120800,2016,6588.0,2.21,85667.0,257800.0,6.0,0.94
