FIPS,year,eviction-rate
48201100000,2016,1.31
48201210400,2016,0.58
48201210400,2016,6.66
48201210400,2016,1.22
48201210500,2016,1.51
48201210500,2016,2.07
48201210500,2016,1.18
48201210600,2016,0.0
48201210600,2016,0.34
48201210600,2016,1.48
48201210700,2016,2.13
48201210700,2016,3.4
48201210800,2016,5.05
48201210800,2016,2.94
48201210900,2016,7.3
48201210900,2016,4.17
48201211000,2016,1.35
48201211000,2016,3.79
48201211100,2016,6.67
48201211100,2016,3.42
48201211100,2016,2.94
48201211100,2016,16.02
48201211200,2016,8.12
48201211200,2016,14.41
48201211300,2016,7.98
48201211300,2016,6.4
48201211300,2016,8.46
48201211300,2016,14.86
48201211400,2016,4.83
48201211400,2016,6.07
48201211400,2016,5.45
48201211500,2016,0.0
48201211500,2016,2.27
48201211500,2016,3.43
48201211500,2016,0.0
48201211600,2016,5.17
48201211600,2016,2.86
48201211700,2016,7.05
48201211700,2016,2.17
48201211700,2016,7.99
48201211900,2016,1.72
48201211900,2016,0.0
48201211900,2016,0.0
48201211900,2016,1.92
48201212300,2016,2.71
48201212300,2016,3.29
48201212300,2016,3.24
48201212300,2016,2.11
48201212400,2016,0.92
48201212400,2016,2.06
48201212400,2016,1.99
48201212500,2016,4.35
48201212500,2016,7.41
48201212500,2016,2.37
48201220100,2016,12.02
48201220100,2016,5.26
48201220200,2016,1.38
48201220200,2016,0.57
48201220300,2016,0.42
48201220300,2016,0.76
48201220300,2016,1.04
48201220400,2016,1.22
48201220400,2016,1.84
48201220500,2016,1.61
48201220500,2016,1.86
48201220500,2016,1.99
48201220600,2016,1.16
48201220600,2016,0.0
48201220700,2016,0.89
48201220700,2016,0.87
48201220700,2016,2.08
48201220700,2016,1.93
48201220800,2016,4.07
48201220800,2016,7.85
48201220900,2016,16.82
48201220900,2016,7.05
48201221000,2016,1.13
48201221100,2016,2.17
48201221100,2016,0.79
48201221100,2016,0.77
48201221200,2016,1.44
48201221200,2016,3.09
48201221200,2016,1.62
48201221300,2016,0.31
48201221300,2016,1.66
48201221300,2016,0.0
48201221400,2016,5.0
48201221400,2016,2.07
48201221400,2016,6.69
48201221500,2016,1.18
48201221500,2016,4.6
48201221600,2016,5.33
48201221600,2016,2.65
48201221600,2016,6.53
48201221700,2016,0.57
48201221700,2016,0.99
48201221800,2016,1.5
48201221800,2016,1.62
48201221900,2016,3.7
48201221900,2016,1.52
48201221900,2016,2.55
48201222000,2016,1.09
48201222100,2016,1.27
48201222100,2016,1.76
48201222200,2016,0.29
48201222200,2016,0.53
48201222300,2016,3.45
48201222300,2016,8.67
48201222300,2016,0.9
48201222401,2016,2.44
48201222401,2016,2.58
48201222402,2016,0.8
48201222402,2016,1.89
48201222501,2016,3.91
48201222501,2016,1.15
48201222502,2016,2.01
48201222503,2016,2.0
48201222503,2016,5.11
48201222700,2016,4.86
48201222700,2016,6.27
48201222800,2016,0.0
48201222800,2016,2.5
48201222900,2016,4.58
48201222900,2016,1.24
48201222900,2016,3.52
48201223001,2016,5.3
48201223001,2016,0.0
48201223002,2016,1.22
48201223002,2016,6.51
48201223100,2016,1.76
48201230100,2016,3.45
48201230200,2016,3.83
48201230200,2016,7.52
48201230300,2016,4.19
48201230300,2016,9.62
48201230400,2016,5.67
48201230400,2016,4.97
48201230400,2016,8.05
48201230500,2016,0.0
48201230500,2016,0.64
48201230500,2016,5.98
48201230600,2016,0.73
48201230600,2016,4.64
48201230700,2016,2.08
48201230700,2016,5.08
48201230800,2016,2.27
48201230800,2016,2.86
48201230900,2016,1.42
48201230900,2016,1.5
48201231000,2016,2.33
48201231000,2016,4.0
48201231100,2016,2.56
48201231100,2016,0.81
48201231100,2016,2.11
48201231200,2016,2.72
48201231200,2016,1.01
48201231200,2016,2.28
48201231300,2016,5.12
48201231300,2016,4.88
48201231400,2016,1.06
48201231500,2016,1.33
48201231500,2016,4.92
48201231600,2016,1.87
48201231600,2016,3.77
48201231700,2016,1.18
48201231700,2016,1.56
48201231800,2016,1.04
48201231800,2016,3.59
48201231900,2016,1.19
48201231900,2016,0.0
48201231900,2016,0.78
48201232000,2016,1.9
48201232100,2016,3.28
48201232100,2016,2.08
48201232200,2016,0.98
48201232200,2016,0.83
48201232200,2016,11.28
48201232301,2016,10.56
48201232301,2016,2.33
48201232301,2016,2.56
48201232302,2016,1.61
48201232302,2016,3.48
48201232401,2016,1.54
48201232401,2016,3.11
48201232401,2016,1.1
48201232402,2016,1.18
48201232403,2016,0.7
48201232403,2016,1.31
48201232500,2016,6.39
48201232600,2016,1.01
48201232600,2016,1.96
48201232701,2016,3.84
48201232701,2016,12.87
48201232701,2016,2.98
48201232702,2016,42.42
48201232702,2016,3.37
48201232800,2016,2.08
48201232800,2016,2.2
48201232900,2016,0.54
48201232900,2016,1.05
48201232900,2016,3.04
48201233001,2016,5.51
48201233002,2016,0.0
48201233002,2016,1.52
48201233003,2016,1.75
48201233101,2016,0.45
48201233101,2016,2.72
48201233101,2016,1.02
48201233102,2016,2.22
48201233102,2016,1.52
48201233102,2016,0.61
48201233103,2016,1.24
48201233103,2016,1.17
48201233200,2016,0.0
48201233200,2016,0.0
48201233200,2016,1.59
48201233200,2016,0.79
48201233300,2016,2.61
48201233300,2016,2.82
48201233300,2016,4.82
48201233400,2016,0.75
48201233400,2016,3.39
48201233500,2016,2.22
48201233500,2016,0.58
48201233500,2016,0.0
48201233600,2016,4.32
48201233600,2016,3.7
48201233701,2016,1.14
48201233701,2016,0.8
48201233702,2016,1.49
48201233702,2016,0.75
48201233702,2016,1.6
48201233703,2016,0.98
48201233703,2016,5.26
48201240100,2016,8.9
48201240400,2016,5.81
48201240400,2016,4.77
48201240501,2016,9.28
48201240502,2016,20.59
48201240701,2016,6.03
48201240701,2016,6.55
48201240702,2016,6.54
48201240702,2016,5.52
48201240801,2016,3.44
48201240801,2016,3.24
48201240802,2016,5.21
48201240802,2016,23.81
48201240901,2016,2.21
48201240901,2016,2.95
48201240902,2016,3.46
48201240902,2016,2.82
48201241000,2016,2.22
48201241000,2016,9.91
48201241000,2016,2.21
48201241101,2016,2.65
48201241101,2016,3.72
48201241102,2016,6.16
48201241102,2016,9.49
48201241102,2016,3.66
48201241102,2016,5.45
48201241103,2016,4.25
48201241103,2016,4.31
48201241200,2016,4.46
48201241200,2016,11.63
48201241200,2016,9.4
48201241300,2016,1.6
48201241300,2016,4.22
48201241400,2016,3.95
