,FIPS,RRI
0,48157670101,
1,48157670200,
2,48157670700,
3,48157672400,
4,48157672601,
5,48157672602,
6,48157672701,
7,48201100000,7.084297241502085
8,48201210100,
9,48201210400,
10,48201210500,2.0583708479433027
11,48201210600,5.712832115530219
12,48201210700,
13,48201210800,2.319272600000741
14,48201210900,
15,48201211000,
16,48201211100,0.7951836557130518
17,48201211200,2.6476170531273056
18,48201211300,2.1310447537737227
19,48201211400,0.9506002973351395
20,48201211500,1.8534718985812755
21,48201211600,
22,48201211700,
23,48201211900,3.4950278934025873
24,48201212300,2.777393565523453
25,48201212400,
26,48201212500,2.9491542539902302
27,48201220100,
28,48201220200,5.085635705921116
29,48201220300,4.4208558671959395
30,48201220400,3.937876817228512
31,48201220500,
32,48201220600,4.40591294225894
33,48201220700,2.530891731033571
34,48201220800,3.1512967046280833
35,48201220900,
36,48201221000,2.9125073333362823
37,48201221100,
38,48201221200,5.255845822786279
39,48201221300,3.9077943067535372
40,48201221400,1.9862902996694156
41,48201221500,1.9068088226403046
42,48201221600,3.842641191350977
43,48201221700,2.272778263911564
44,48201221800,
45,48201221900,
46,48201222000,4.8332706181942315
47,48201222100,2.559129954254578
48,48201222200,
49,48201222300,1.787213959449621
50,48201222401,
51,48201222402,3.0017243593900873
52,48201222501,2.1695364778666066
53,48201222502,
54,48201222503,2.709529706630133
55,48201222600,
56,48201222700,0.9335344098513367
57,48201222800,3.2030627417106174
58,48201222900,
59,48201223001,
60,48201223002,2.7224527095753754
61,48201223100,
62,48201230100,
63,48201230200,1.1035169788241082
64,48201230300,
65,48201230400,2.107038757794758
66,48201230500,3.1836511938978775
67,48201230600,
68,48201230700,2.8631832098658925
69,48201230800,
70,48201230900,1.6038275316080637
71,48201231000,2.014053243579454
72,48201231100,
73,48201231200,
74,48201231300,
75,48201231400,
76,48201231500,
77,48201231600,
78,48201231700,
79,48201231800,
80,48201231900,
81,48201232000,
82,48201232100,3.3496691548479602
83,48201232200,
84,48201232301,
85,48201232302,4.10668813368384
86,48201232401,4.538329516569867
87,48201232402,4.670717150893165
88,48201232403,
89,48201232500,
90,48201232600,5.8752046079544895
91,48201232701,
92,48201232702,2.4513581203902994
93,48201232800,
94,48201232900,5.04436571472454
95,48201233001,
96,48201233002,6.502801730833214
97,48201233003,7.169975831344369
98,48201233101,3.44680205140383
99,48201233102,
100,48201233103,2.8391604493521783
101,48201233200,5.874580026812302
102,48201233300,3.2858936501153324
103,48201233400,
